key|collectedFrom
3913652482|all reared from larvae on leaves of Gymnosporia thompsonii
3913652513|all reared from larvae on leaves of Gymnosporia thompsonii
3913652331|all reared from larvae on leaves of Gymnosporia thompsonii
3336062309|at light
3336062316|swept from Glochidion marianum
3913652446|
3913652496|
3332081352|
3332081386|
3332081312|
3332081370|
3332081457|
3913652355|
3913652368|
3913652475|at light
3913652437|at light
3913652480|at light
3332081410|
3913642328|at light
3913642317|reared from caterpillars on taro
3913642368|reared from caterpillars on tobacco
3913642367|at light
3913642332|at light
3913642351|reared from caterpillars on banana
3913642350|reared from caterpillars on banana
3913642353|
3332081343|
3332081345|
3332081311|at light
3332081347|
3332081388|
3970494305|
3970494312|
3913642325|
3913642331|
3970494306|in rice field
3913642349|reared from a caterpillar on sword grass, Xiphagrostis floridula
3332081487|
3332081415|
3913642356|
3970494302|
3970494308|
3913642348|
3913642339|at light
3913642303|at light
3913642311|at light
3913642343|at light
3913642310|reared from eggs found Intsia bijuga
3913642346|
3913642327|
3913652465|
3913652392|
3913642316|slender looping caterpillars on Pithecolobium dulce
3913642314|slender looping caterpillars on Pithecolobium dulce
3913642362|slender looping caterpillars on Pithecolobium dulce
3913642342|slender looping caterpillars on Pithecolobium dulce
3913642341|slender looping caterpillars on Pithecolobium dulce
3332081366|reared from caterpillar on rose
3332081442|reared from numerous caterpilllars on Messerschmidia argentea
3332081408|reared from numerous caterpilllars on Messerschmidia argentea
3970494303|reared from a looping caterpillar on Macaranga thompsoni
3970494310|
3913642345|Similar looping caterpillars were collected from Macaranga
3913642322|Similar looping caterpillars were collected from Macaranga
3913642320|at light
3913642323|
3913642369|
3332081382|from a pupa on leaf
3332081417|at light
3332081314|
3913642315|
3913642313|
3913642329|
3913642301|
3913642318|
3913642305|
3913642308|
3913642366|
3913642355|
3913642359|
3913642330|
3913642336|reared from looping caterpillar on Guettarda speciosa
3913642347|
3332081452|at light
3332081351|at light, paler specimens
3332081434|at light
3913652417|at light
3913652330|at light
3913652411|at light
3913652434|at light
3913652335|at light
3332081335|reared from foliage of Intsia bijuga
3332081305|
3332081492|swept from Pemphis at seashore
3332081350|reared from caterpillar feeding in flowers of Abelmoschus esculentus
3332081433|at light
3913652321|reared from caterpillars boring the tips of branches of a weed, Malachra capitata
3913652433|reared from caterpillars boring the tips of branches of a weed, Malachra capitata
3913652313|as a stem borer in cotton
3332081399|at light
3332081449|reared from a caterpilllar on leaf of Barringtonia speciosa
3332081467|at light
3332081364|
3332081371|labeled &quot;L. honesta&quot; which believed to be regia
3332081480|larvae found feeding in terminal leaf buds of Hibiscus tiliaceus, one moth reared
3913652490|at light
3913652408|at light
3913652405|at light
3970494311|taken on the screen as they came to light at our residence
3913652468|taken on the screen as they came to light at our residence
3913652463|taken on the screen as they came to light at our residence
3913652494|taken on the screen as they came to light at our residence
3913652332|taken on the screen as they came to light at our residence
3913652478|taken on the screen as they came to light at our residence
3913652424|taken on the screen as they came to light at our residence
3913652412|taken on the screen as they came to light at our residence
3970494307|four caterpillars on leaves of Ochrocarpus obovalis
3970494304|one moth matured from caterpillars on leaves of Ochrocarpus obovalis
3913652431|
3913652416|reared from a green caterpillar on mango
3970494309|at light
3913652415|at light
3913652353|at light
3913652318|
3970494301|
3913652473|our screen at night
3913652311|our screen at night
3913652504|our screen at night
3913652404|our screen at night
3913652453|our screen at night
3913652301|our screen at night
3913652455|our screen at night
3913652435|our screen at night
3913652350|our screen at night
3913652366|our screen at night
3913652470|in mangrove swamp
3913652364|swept from Thespesia populnea
3332081375|
3332081455|
3332081423|at light
3913652459|
3913652363|reared from Sida
3913652343|
3913652508|at light
3332081309|reared from Sida
3913642333|at light
3913642326|at light
3913642324|
3913642302|at light
3913642319|at light
3913642312|at light
3913642357|at light
3913642360|at light
3913642340|at light
3913642344|at light
3913642334|at light
3913642358|at light
3913642365|at light
3913642304|at light
3913642321|at light
3913642335|at light
3913642309|at light
3332081344|reared from larvae and pupae in rice seedling plots
3913642361|reared from larva on grass
3913642337|reared from an egg cluster found on porch screen
3913642306|Reared from larvae and pupae under stones in pasture
3913642363|reared from egg cluster on rose bush
3332081462|at light
3332081363|at light
3332081468|at light
3332081426|at light
3913652418|at light
3913652369|at light
3332081432|
3913652442|one moth was reared from a leafroller caterpillar on Colubrina asiatica
3913652409|
3913652310|
3913652398|
3332081438|
3913652401|at light
3913652483|at light
3986701301|
3986701302|
3986701303|a green species near marginata was reared from a colony of caterpillars which had webbed together the terminal leaves on a branch of Ochrosia mariannensis in the forest. There were 54 caterpillars in teh colongy. From them, 34 moths issued June 18-21 (some as cripples, which were not saved); 15 larvae and pupae died; thread worms issued from three; tachinid larvae issued from two (one of these died in puparium, the other issued a cripple).
3913652484|on honeydew melon
3913652322|on pepino melon
3332081431|
3332081361|
3332081306|
3913652387|all reared
3913652362|all reared
3913652391|all reared
3332081317|
3332081334|
3913652489|
3913652357|
3332081318|
3332081303|
3332081400|
3332081428|
3332081447|
3332081348|
3913652474|
3913652312|
3332081372|
3332081424|
3332081322|
3332081409|
3913652510|
3913652305|
3913652440|
3913652419|
3913652429|
3332081369|
3332081329|
3913652337|all reared, except a few taken at light
3913652432|all reared, except a few taken at light
3913652324|all reared, except a few taken at light
3913652314|all reared, except a few taken at light
3913652351|all reared, except a few taken at light
3332081381|all reared, except a few taken at light
3913652516|all reared, except a few taken at light
3913652372|all reared, except a few taken at light
3332081436|all reared, except a few taken at light
3332081427|all reared, except a few taken at light
3332081316|all reared, except a few taken at light
3986697305|
3986697302|
3914039301|on grass
3913652365|at light
3913652383|at light
3913652361|at light
3913652315|at light
3332081445|at light
3332081337|at light
3332081357|at light
3332081324|reared from corn
3332081310|reared from corn
3332081401|reared from corn
3332081482|reared from corn
3332081356|
3913652495|
3332081412|
3332081418|
3332081456|
3913652462|
3913652323|
3913652512|
3913652450|
3913652320|
3332081323|
3988005302|
3988005301|
3913652438|first record of it was under the name Pyrausta vastatrix, given by Schultze in Manila, a name wihich was later recognized as a synonym. It became a very serioudu pest in Guam.
3332081349|reared from leafroller on Elephantopus spicatus
3332081321|
3913652328|
3913652388|
3913652514|
3913652451|reared from Elephantopus, and two specimens at light
3913652410|reared from Elephantopus and a weed of the mint family
3332081478|
3913652428|reared from fruit of Barringtonia speciosa
3913652413|reared from leafroller caterpillars on agalunde, or a similar plant
3913652304|
3913652500|
3913652472|
3913652358|
3913652439|
3913652444|
3913652393|
3913652427|
3913652420|
3913652503|
3913652395|
3913652346|
3913652396|
3913652476|
3332081464|
3332081490|
3332081446|
3986713301|
3986713302|
3913652317|many coming to light
3913652422|reported a pyraustid moth (probably this species) which was destructive to lawns
3913652466|
3913652515|
3913652407|
3913652367|
3913652307|
3913652382|
3913652339|
3913652384|
3913652406|
3913652509|
3332081384|reared from cabbage
3913652389|at light
3913652329|at light
3913652481|at light
3332081396|
3913652316|found it on cabbage, but not as commonly as Hellula undalis
3913652399|found on radish and horseradish
3913652373|reared moths from cabbage
